frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
372.83,-11.50,-7.07,-11.50,-7.07,7.07,-4.43,-4.43,-4.43
376.56,-11.37,-6.94,-11.37,-6.94,6.94,-4.43,-4.43,-4.43
380.33,-11.20,-6.77,-11.20,-6.77,6.77,-4.43,-4.43,-4.43
384.13,-11.00,-6.57,-11.00,-6.57,6.57,-4.43,-4.43,-4.43
387.97,-10.78,-6.35,-10.78,-6.35,6.35,-4.43,-4.43,-4.43
391.85,-10.60,-6.17,-10.60,-6.17,6.17,-4.43,-4.43,-4.43
395.77,-10.46,-6.03,-10.46,-6.03,6.03,-4.43,-4.43,-4.43
399.73,-10.37,-5.94,-10.37,-5.94,5.94,-4.43,-4.43,-4.43
403.72,-10.29,-5.86,-10.29,-5.86,5.86,-4.43,-4.43,-4.43
407.76,-10.18,-5.75,-10.18,-5.75,5.75,-4.43,-4.43,-4.43
411.84,-10.01,-5.58,-10.01,-5.58,5.58,-4.43,-4.43,-4.43
415.96,-9.77,-5.34,-9.77,-5.34,5.34,-4.43,-4.43,-4.43
420.12,-9.50,-5.07,-9.50,-5.07,5.07,-4.43,-4.43,-4.43
424.32,-9.24,-4.81,-9.24,-4.81,4.81,-4.43,-4.43,-4.43
428.56,-9.05,-4.62,-9.05,-4.62,4.62,-4.43,-4.43,-4.43
432.85,-8.92,-4.49,-8.92,-4.49,4.49,-4.43,-4.43,-4.43
437.18,-8.82,-4.39,-8.82,-4.39,4.39,-4.43,-4.43,-4.43
441.55,-8.70,-4.27,-8.70,-4.27,4.27,-4.43,-4.43,-4.43
445.96,-8.52,-4.09,-8.52,-4.09,4.09,-4.43,-4.43,-4.43
450.42,-8.30,-3.87,-8.30,-3.87,3.87,-4.43,-4.43,-4.43
454.93,-8.08,-3.65,-8.08,-3.65,3.65,-4.43,-4.43,-4.43
459.48,-7.89,-3.46,-7.89,-3.46,3.46,-4.43,-4.43,-4.43
464.07,-7.74,-3.31,-7.74,-3.31,3.31,-4.43,-4.43,-4.43
468.71,-7.61,-3.18,-7.61,-3.18,3.18,-4.43,-4.43,-4.43
473.40,-7.45,-3.02,-7.45,-3.02,3.02,-4.43,-4.43,-4.43
478.13,-7.25,-2.82,-7.25,-2.82,2.82,-4.43,-4.43,-4.43
482.91,-7.02,-2.59,-7.02,-2.59,2.59,-4.43,-4.43,-4.43
