frequency,raw
677.32,-8.93
684.10,-8.83
690.94,-8.75
697.85,-8.59
704.83,-8.31
711.87,-8.17
718.99,-8.08
726.18,-7.80
733.44,-7.49
740.78,-7.24
748.19,-6.90
755.67,-6.54
763.23,-6.12
770.86,-5.79
778.57,-5.72
786.35,-5.45
794.22,-4.98
802.16,-4.67
810.18,-4.43
818.28,-4.38
826.46,-4.27
834.73,-4.03
843.08,-3.82
851.51,-3.46
860.02,-3.30
868.62,-3.18
877.31,-2.93
886.08,-2.82
894.94,-2.71
903.89,-2.65
912.93,-2.23
922.06,-1.85
931.28,-1.78
940.59,-1.73
950.00,-1.45
959.50,-1.02
969.09,-0.89
978.78,-0.45
988.57,-0.15
998.46,-0.03
1008.44,0.19
1018.53,0.67
1028.71,0.53
1039.00,0.64
1049.39,1.06
1059.88,1.15
1070.48,1.15
1081.19,1.57
1092.00,1.51
1102.92,1.68
1113.95,2.15
1125.09,2.14
1136.34,2.06
1147.70,2.44
1159.18,2.32
1170.77,2.31
1182.48,2.34
1194.30,2.16
1206.25,2.55
1218.31,2.38
1230.49,2.09
1242.80,2.51
1255.22,2.36
1267.78,1.98
1280.45,2.15
1293.26,2.37
1306.19,1.96
1319.25,2.04
1332.45,2.12
1345.77,1.99
1359.23,2.26
1372.82,2.09
1386.55,1.87
1400.41,1.79
1414.42,1.97
1428.56,1.38
1442.85,1.38
1457.28,1.24
1471.85,0.95
1486.57,0.68
1501.43,0.31
1516.45,0.05
1531.61,-0.44
1546.93,-0.78
1562.40,-1.12
1578.02,-1.55
1593.80,-1.81
1609.74,-1.92
1625.84,-2.13
1642.10,-2.02
1658.52,-2.24
1675.10,-2.14
1691.85,-2.41
1708.77,-2.42
1725.86,-2.51
1743.12,-2.58
1760.55,-2.60
1778.15,-2.86
1795.94,-2.84
1813.90,-3.12
1832.03,-3.29
1850.36,-3.40
1868.86,-3.38
1887.55,-3.42
1906.42,-3.36
1925.49,-3.32
1944.74,-3.34
1964.19,-3.13
1983.83,-3.12
2003.67,-2.86
2023.71,-2.64
2043.94,-2.54
2064.38,-2.33
2085.03,-2.24
2105.88,-2.05
2126.94,-1.99
2148.20,-1.94
2169.69,-1.88
2191.38,-1.86
2213.30,-1.90
2235.43,-1.92
2257.78,-2.08
2280.36,-2.27
2303.17,-2.41
2326.20,-2.58
2349.46,-2.75
2372.95,-2.95
2396.68,-3.08
2420.65,-3.29
2444.86,-3.61
2469.31,-3.70
2494.00,-3.92
2518.94,-4.05
2544.13,-4.28
2569.57,-4.27
2595.27,-4.27
2621.22,-4.27
2647.43,-4.24
2673.90,-4.16
2700.64,-4.10
2727.65,-4.12
2754.93,-4.16
2782.48,-4.26
2810.30,-4.46
2838.40,-4.57
2866.79,-4.83
2895.46,-5.18
2924.41,-5.39
2953.65,-5.54
2983.19,-5.67
3013.02,-5.65
3043.15,-5.55
3073.58,-5.36
3104.32,-5.20
3135.36,-5.00
3166.72,-4.91
3198.38,-4.65
3230.37,-4.33
3262.67,-4.17
3295.30,-3.98
3328.25,-3.86
3361.53,-3.73
3395.15,-3.60
3429.10,-3.38
3463.39,-3.19
3498.03,-2.98
3533.01,-2.71
3568.34,-2.41
3604.02,-2.22
3640.06,-1.91
3676.46,-1.73
3713.22,-1.51
3750.36,-1.33
3787.86,-1.13
3825.74,-0.83
3864.00,-0.50
3902.64,-0.13
3941.66,0.23
3981.08,0.54
4020.89,0.67
4061.10,0.85
4101.71,1.04
4142.73,1.27
4184.15,1.74
4226.00,1.96
4268.26,2.35
4310.94,2.80
4354.05,3.24
4397.59,3.49
4441.56,3.66
4485.98,3.90
4530.84,4.13
4576.15,4.18
4621.91,4.19
4668.13,4.25
4714.81,4.16
4761.96,4.24
4809.58,4.33
4857.67,4.07
4906.25,4.11
4955.31,4.00
5004.87,4.01
5054.91,4.28
5105.46,4.05
5156.52,4.01
5208.08,3.90
5260.16,3.65
5312.77,3.39
5365.89,3.12
5419.55,2.84
5473.75,2.49
5528.49,2.23
5583.77,2.11
5639.61,1.88
5696.00,1.62
5752.96,1.51
5810.49,1.22
5868.60,0.92
5927.28,0.79
5986.56,0.58
6046.42,0.35
6106.89,0.09
6167.96,0.11
6229.64,-0.19
6291.93,-0.22
6354.85,-0.25
6418.40,-0.56
6482.58,-0.80
6547.41,-1.19
6612.88,-1.45
6679.01,-1.81
6745.80,-2.18
6813.26,-2.60
6881.39,-3.02
6950.21,-3.53
7019.71,-3.90
7089.91,-4.27
7160.81,-4.52
7232.41,-4.75
7304.74,-5.00
7377.79,-5.15
7451.56,-5.34
7526.08,-5.60
7601.34,-6.03
7677.35,-6.58
7754.13,-7.18
7831.67,-7.80
7909.98,-8.32
7989.08,-8.58
8068.98,-8.81
8149.67,-9.05
8231.16,-9.38
8313.47,-9.67
8396.61,-10.00
8480.57,-10.38
8565.38,-10.81
8651.03,-11.23
8737.54,-11.68
8824.92,-12.11
8913.17,-12.49
9002.30,-12.91
9092.32,-13.04
9183.25,-13.06
9275.08,-13.16
9367.83,-13.32
9461.51,-13.43
9556.12,-13.53
9651.68,-13.59
9748.20,-13.60
9845.68,-13.62
9944.14,-13.68
10043.58,-13.78
10144.02,-13.93
10245.46,-14.11
10347.91,-14.35
10451.39,-14.32
10555.91,-14.04
10661.46,-13.69
10768.08,-13.22
10875.76,-12.75
10984.52,-12.36
11094.36,-12.00
11205.31,-11.62
11317.36,-11.30
11430.53,-11.12
11544.84,-11.00
11660.29,-10.98
11776.89,-11.03
11894.66,-11.04
12013.60,-10.98
12133.74,-10.84
12255.08,-10.71
12377.63,-10.60
12501.41,-10.64
12626.42,-10.78
12752.68,-10.99
12880.21,-11.20
13009.01,-11.38
13139.10,-11.50
13270.49,-11.61
13403.20,-11.75
13537.23,-11.79
13672.60,-11.84
13809.33,-11.87
13947.42,-11.85
14086.90,-11.82
14227.77,-11.79
14370.04,-11.74
14513.74,-11.72
14658.88,-11.79
14805.47,-11.92
14953.52,-12.11
15103.06,-12.38
15254.09,-12.64
15406.63,-12.80
15560.70,-13.01
15716.30,-13.28
15873.47,-13.58
16032.20,-13.85
16192.52,-14.14
16354.45,-14.49
16517.99,-14.50
16683.17,-14.03
16850.01,-13.60
17018.51,-13.20
17188.69,-12.78
17360.58,-12.32
17534.18,-11.80
17709.53,-11.26
17886.62,-10.79
18065.49,-10.41
18246.14,-10.14
18428.60,-9.90
18612.89,-9.46
18799.02,-8.93
18987.01,-8.52
19176.88,-8.18
19368.65,-7.76
19562.33,-7.39
19757.96,-6.95
19955.54,-6.62
20155.09,-6.29
20356.64,-5.96
20560.21,-5.63
20765.81,-5.30
20973.47,-4.97
21183.20,-4.64
21395.04,-4.31
21608.99,-3.98
21825.08,-3.65
